article_name,country,region,revision_id,article_quality,population
Mouloud Kacem Naît Belkacem,algeria,AFRICA,774806785,Stub,44.357
Boualem Bessaïh,algeria,AFRICA,776740910,Start,44.357
Bakhti Belaïb,algeria,AFRICA,776925770,Stub,44.357
Karim Djoudi,algeria,AFRICA,778326830,Stub,44.357
Nadia Boubeghla,algeria,AFRICA,779427583,Stub,44.357
Zahra Dardouri,algeria,AFRICA,779427783,Stub,44.357
Nouria Yamina Zerhouni,algeria,AFRICA,779427849,Stub,44.357
Abdelkader Hachani,algeria,AFRICA,780207199,Start,44.357
Belaid Abdessalam,algeria,AFRICA,780658360,Stub,44.357
Smail Hamdani,algeria,AFRICA,780665054,Start,44.357
Mouloud Hamrouche,algeria,AFRICA,780680919,Stub,44.357
Ahmed Benbitour,algeria,AFRICA,782105275,Stub,44.357
Abdennour Abrous,algeria,AFRICA,782192657,Stub,44.357
Azzedine Mihoubi,algeria,AFRICA,784420611,Start,44.357
Nouara Saadia,algeria,AFRICA,785156476,Stub,44.357
Abane Ramdane,algeria,AFRICA,785742807,Stub,44.357
Saïd Sadi,algeria,AFRICA,787911144,Start,44.357
Fatiha Serour,algeria,AFRICA,787988818,Stub,44.357
Leila Zerrougui,algeria,AFRICA,788010268,Start,44.357
Mourad Benmehidi,algeria,AFRICA,788018992,Start,44.357
Said Boualam,algeria,AFRICA,788254131,Start,44.357
Kasdi Merbah,algeria,AFRICA,788299558,Start,44.357
Ferhat Mehenni,algeria,AFRICA,788458570,Start,44.357
Amar Ghoul,algeria,AFRICA,788748788,Stub,44.357
Mohamed Khider,algeria,AFRICA,788827246,Start,44.357
Jacques Chevallier,algeria,AFRICA,791039747,Start,44.357
List of mayors of Oran,algeria,AFRICA,791295370,Start,44.357
List of mayors of Algiers,algeria,AFRICA,791312936,Stub,44.357
Mohamed Belouizdad,algeria,AFRICA,791704982,Stub,44.357
Krim Belkacem,algeria,AFRICA,793167978,Start,44.357
Zohra Drif,algeria,AFRICA,793588934,Start,44.357
Abdallah Djaballah,algeria,AFRICA,793718332,Stub,44.357
Benyoucef Benkhedda,algeria,AFRICA,794381535,B,44.357
Benaouda Hadj Hacène Bachterzi,algeria,AFRICA,794404263,Stub,44.357
Bouguerra Soltani,algeria,AFRICA,794692299,Stub,44.357
Ibrahim Bey,algeria,AFRICA,795485624,Start,44.357
"List of beys of Constantine, Algeria",algeria,AFRICA,795485627,Start,44.357
Houda-Imane Faraoun,algeria,AFRICA,796300546,Start,44.357
List of Ottoman governors of Algiers,algeria,AFRICA,796315940,Start,44.357
Said Djinnit,algeria,AFRICA,796386574,Start,44.357
Ramtane Lamamra,algeria,AFRICA,796388361,Start,44.357
Mohamed Khemisti,algeria,AFRICA,796407786,Stub,44.357
Boudina Mostefa,algeria,AFRICA,796600973,Stub,44.357
Chara Bachir,algeria,AFRICA,796608168,Stub,44.357
Draoui Mohamed,algeria,AFRICA,796627766,Stub,44.357
Kara Baya,algeria,AFRICA,796666436,Stub,44.357
Mokdad Sifi,algeria,AFRICA,796669862,Stub,44.357
Abderrahmane Benkhalfa,algeria,AFRICA,796929637,Stub,44.357
Ali Kafi,algeria,AFRICA,796945473,Start,44.357
Abdeslam Bouchouareb,algeria,AFRICA,797037799,Stub,44.357
Lakhdar Brahimi,algeria,AFRICA,797172347,C,44.357
Mohammed Saleh Bendjelloul,algeria,AFRICA,797399413,Stub,44.357
Chadli Bendjedid,algeria,AFRICA,797986413,C,44.357
Zuhur Wanasi,algeria,AFRICA,798667851,Start,44.357
President of Algeria,algeria,AFRICA,799290487,C,44.357
Ahmed Ouyahia,algeria,AFRICA,799959233,GA,44.357
Abdelmalek Sellal,algeria,AFRICA,799959652,Start,44.357
Farida Haddouche,algeria,AFRICA,800042876,Stub,44.357
Ali Haroun,algeria,AFRICA,800725058,Stub,44.357
Lakhdar Ben Tobbal,algeria,AFRICA,800725950,Stub,44.357
Abdelhamid Brahimi,algeria,AFRICA,800726457,Stub,44.357
Abdelaziz Bouteflika,algeria,AFRICA,801180489,C,44.357
Louisa Hanoune,algeria,AFRICA,801466524,C,44.357
Abdelmadjid Tebboune,algeria,AFRICA,801607196,Start,44.357
Hayreddin Barbarossa,algeria,AFRICA,802441492,B,44.357
Ahmed Bey ben Mohamed Chérif,algeria,AFRICA,802519267,Start,44.357
Liamine Zéroual,algeria,AFRICA,802574873,Start,44.357
Emir Abdelkader,algeria,AFRICA,803016375,B,44.357
Hocine Aït Ahmed,algeria,AFRICA,803291657,Start,44.357
Ahmed Ben Bella,algeria,AFRICA,803965612,C,44.357
Lalla Fatma N'Soumer,algeria,AFRICA,804073508,Start,44.357
Mahfoud Nahnah,algeria,AFRICA,804142444,Start,44.357
Amar Abba,algeria,AFRICA,804372706,Stub,44.357
Redha Malek,algeria,AFRICA,804696553,Start,44.357
Sid Ahmed Ghozali,algeria,AFRICA,804905610,Stub,44.357
Mohamed Seghir Boushaki,algeria,AFRICA,805107344,GA,44.357
Abdelmalek Benhabyles,algeria,AFRICA,805427697,Stub,44.357
Nouria Benghabrit-Remaoun,algeria,AFRICA,805484867,Start,44.357
Mohamed Deriche,algeria,AFRICA,805618028,C,44.357
Cheikh Mokrani,algeria,AFRICA,806013558,Start,44.357
Ferhat Abbas,algeria,AFRICA,806762937,C,44.357
Houari Boumédiène,algeria,AFRICA,806763023,C,44.357
Maurice Laban,algeria,AFRICA,807321345,Stub,44.357
List of Grand Viziers of Egypt,egypt,AFRICA,442937236,Stub,100.803
Neferkheperu-her-sekheper,egypt,AFRICA,657176628,Start,100.803
Qandil Cabinet,egypt,AFRICA,687093229,C,100.803
Mohamed Kamel Leilah,egypt,AFRICA,700864508,Stub,100.803
Khaled Dawoud,egypt,AFRICA,701871912,Stub,100.803
Ihab el-Sherif,egypt,AFRICA,705264062,Start,100.803
Ali El-Sayed Ali Al-Moselhi,egypt,AFRICA,710831684,Stub,100.803
Ismail El-Gawsaqi,egypt,AFRICA,712237399,Stub,100.803
Ali Maher (diplomat),egypt,AFRICA,712566011,Stub,100.803
Umar al-Tilmisani,egypt,AFRICA,714741437,Start,100.803
Mustafa Mashhur,egypt,AFRICA,714806189,Stub,100.803
Yousry Saber Hussein El-Gamal,egypt,AFRICA,715206646,Stub,100.803
Hany Mahfouz Helal,egypt,AFRICA,715947683,Stub,100.803
Mohammed Habib,egypt,AFRICA,716599243,Stub,100.803
Mamdouh Hosny Khalil,egypt,AFRICA,717534881,Stub,100.803
Mohamed Abdul Salam Mahgoub,egypt,AFRICA,719039652,Stub,100.803
Samir El-Sayiad,egypt,AFRICA,719704569,Stub,100.803
Maged George Elias Ghattas,egypt,AFRICA,719742040,Start,100.803
Stephan Bassily,egypt,AFRICA,720605479,Start,100.803
Mohamed Youssef Ibrahim,egypt,AFRICA,720939610,Start,100.803
Mahmoud al-Saqa,egypt,AFRICA,721188244,Stub,100.803
Mohammed Murad Ghaleb,egypt,AFRICA,721302683,Stub,100.803
George Messiha,egypt,AFRICA,722226891,Stub,100.803
Yasser Ali,egypt,AFRICA,722340898,Stub,100.803
Mohamed Mahsoub,egypt,AFRICA,722586870,Start,100.803
Sayed Meshaal,egypt,AFRICA,723347465,Stub,100.803
Nabil Na'eem,egypt,AFRICA,723487099,Start,100.803
Ali Ibrahim Pasha,egypt,AFRICA,723820329,Stub,100.803
Sherif Sabri Pasha,egypt,AFRICA,726072363,Stub,100.803
Ali Pasha Mubarak,egypt,AFRICA,728507832,B,100.803
Mohammed Ragab Ahmad,egypt,AFRICA,734122106,Stub,100.803
List of governors of Islamic Egypt,egypt,AFRICA,735405745,B,100.803
Sufi Abu Taleb,egypt,AFRICA,735739446,C,100.803
Abdel Ahad Gamal El Din,egypt,AFRICA,737848237,Stub,100.803
Mohamed M. Abou El Enein,egypt,AFRICA,738586711,C,100.803
Diaa al-Din Dawoud,egypt,AFRICA,741240565,B,100.803
Abbas Halim,egypt,AFRICA,743531941,Start,100.803
Abdel Wahab el-Beshry,egypt,AFRICA,744730085,Stub,100.803
Joseph de Picciotto Bey,egypt,AFRICA,745489352,Stub,100.803
Mohamed Sedki Sulayman,egypt,AFRICA,745711737,Stub,100.803
Abdel Fattah Yahya Pasha,egypt,AFRICA,745837038,Stub,100.803
Talaat Sadat,egypt,AFRICA,746372924,Start,100.803
Muttalib ibn Abdallah ibn Malik,egypt,AFRICA,747063138,Stub,100.803
Muhammad Ali Alluba,egypt,AFRICA,747594950,Stub,100.803
Galal Saeed,egypt,AFRICA,750721973,Stub,100.803
Numan Gumaa,egypt,AFRICA,750722991,Stub,100.803
Yehia El-Gamal,egypt,AFRICA,751177057,Start,100.803
Ahmad Fathy Zaghlul,egypt,AFRICA,751451387,Start,100.803
Muhammad Hassanein,egypt,AFRICA,751568055,Stub,100.803
Hossam Badrawi,egypt,AFRICA,755398667,C,100.803
Emad Abdel Ghaffour,egypt,AFRICA,756307494,Stub,100.803
Farkhonda Hassan,egypt,AFRICA,757292312,Start,100.803
Hussein el-Shafei,egypt,AFRICA,761525136,Start,100.803
Mohamed Abu Samra,egypt,AFRICA,762300867,Stub,100.803
Salah Dessouki,egypt,AFRICA,762369795,Start,100.803
Mokhtar Khattab,egypt,AFRICA,764016726,Stub,100.803
Rifaat el-Mahgoub,egypt,AFRICA,765023750,Start,100.803
Mohamed Mahmoud Pasha,egypt,AFRICA,765119973,Stub,100.803
Mohammed Hassan El-Zayyat,egypt,AFRICA,765965988,Stub,100.803
Hassan Tuhami,egypt,AFRICA,767190897,Start,100.803
Galal al-Morra,egypt,AFRICA,767649266,Stub,100.803
Lists of rulers of Egypt,egypt,AFRICA,770980198,Stub,100.803
Heshmat Fahmi,egypt,AFRICA,773331743,Stub,100.803
Mustafa El-Rifai,egypt,AFRICA,773751017,Start,100.803
Abdel Hakim Amer,egypt,AFRICA,774467673,C,100.803
Ibrahim Munir Mustafa,egypt,AFRICA,774472166,C,100.803
Mohamed Sherif Pasha,egypt,AFRICA,777595254,Start,100.803
Aly Maher Pasha,egypt,AFRICA,777702366,Stub,100.803
Atef Sedky,egypt,AFRICA,777704347,Start,100.803
Amani Asfour,egypt,AFRICA,779428183,Start,100.803
Aisha Rateb,egypt,AFRICA,779819055,C,100.803
Hassan al-Hudaybi,egypt,AFRICA,780427389,C,100.803
Abdelfattah al-Banna,egypt,AFRICA,780493806,Stub,100.803
Ahmed Naguib el-Hilaly,egypt,AFRICA,782105531,Start,100.803
Mahmoud Abo El-Nasr,egypt,AFRICA,782988569,Start,100.803
Mohamed Fawzi (general),egypt,AFRICA,783760275,C,100.803
Mahmoud Abdel Rahman Fahmy,egypt,AFRICA,784503020,Start,100.803
Hafez Abu Seada,egypt,AFRICA,785327208,Start,100.803
Mohamed Ismail,egypt,AFRICA,786115968,C,100.803
Hassan Ibrahim,egypt,AFRICA,786745161,Start,100.803
Ma'mun al-Hudaybi,egypt,AFRICA,786991557,Stub,100.803
Abdel Latif Boghdadi (politician),egypt,AFRICA,787386105,GA,100.803
Abdel Moneim Amin,egypt,AFRICA,787386310,Stub,100.803
Abu Al-Izz Al-Hariri,egypt,AFRICA,787460680,Stub,100.803
Ahmed El-Leithy,egypt,AFRICA,787913632,Stub,100.803
Ahmed Zaki Badreldin,egypt,AFRICA,787919367,Start,100.803
Ahmed El Maghrabi,egypt,AFRICA,788271050,Start,100.803
Mahmoud Mekki,egypt,AFRICA,788461897,C,100.803
Mansour Hassan,egypt,AFRICA,788463189,Start,100.803
Sherif Kamal Shahine,egypt,AFRICA,788538311,Stub,100.803
Tarek al-Zumar,egypt,AFRICA,788556635,Stub,100.803
Adel Abdel-Hamid,egypt,AFRICA,788963873,Stub,100.803
Hussein Serry Pasha,egypt,AFRICA,789081956,Stub,100.803
Ibrahim Abdel Hady Pasha,egypt,AFRICA,789082303,Stub,100.803
Mamdouh Salem,egypt,AFRICA,789082718,Stub,100.803
Rawya Ateya,egypt,AFRICA,790526524,C,100.803
Mustafa Khalil,egypt,AFRICA,791507333,Start,100.803
Suzanne Mubarak,egypt,AFRICA,792037116,GA,100.803
Ahmed Zeiwar Pasha,egypt,AFRICA,792780958,Stub,100.803
Sameh Shoukry,egypt,AFRICA,793707954,Start,100.803
List of heads of state of Egypt,egypt,AFRICA,793838540,Start,100.803
Ziad Bahaa-Eldin,egypt,AFRICA,793963147,Start,100.803
Shadi Taha,egypt,AFRICA,794712699,Start,100.803
Inji Aflatoun,egypt,AFRICA,795000966,C,100.803
Omar Sharaf,egypt,AFRICA,795726468,FA,100.803
List of Presidents of Egypt by time in office,egypt,AFRICA,795799070,Stub,100.803
Adel Labib,egypt,AFRICA,795958655,Stub,100.803
Ibrahim Mahlab,egypt,AFRICA,796090115,Start,100.803
Gameela Ismail,egypt,AFRICA,796116453,C,100.803
Shawar of Egypt,egypt,AFRICA,796215075,Start,100.803
Ahmed Gamal El Din,egypt,AFRICA,796606969,C,100.803
Abdel Moneim El Shahat,egypt,AFRICA,796929618,Stub,100.803
Aly Lotfy Mahmoud,egypt,AFRICA,796954945,Stub,100.803
Ahmad Fuad Mohieddin,egypt,AFRICA,796973935,Stub,100.803
Bassem Ouda,egypt,AFRICA,797040401,Start,100.803
First Lady of Egypt,egypt,AFRICA,797479352,Stub,100.803
Mohamed Said Pasha,egypt,AFRICA,797632929,Stub,100.803
Hazem Salah Abu Ismail,egypt,AFRICA,797822421,Start,100.803
Mustafa Mansour,egypt,AFRICA,797939054,Start,100.803
Kamal el-Din Hussein,egypt,AFRICA,798490704,Start,100.803
Mohamed Mansour (businessman),egypt,AFRICA,799022387,Start,100.803
Mohamed Soudan,egypt,AFRICA,799022586,C,100.803
Nabil Elaraby,egypt,AFRICA,799071966,C,100.803
Youssef Zulficar Pasha,egypt,AFRICA,799236302,C,100.803
Nasser al-Hafi,egypt,AFRICA,799976520,Stub,100.803
Mostafa Alnagar,egypt,AFRICA,800203594,C,100.803
Maged A. Abdelaziz,egypt,AFRICA,800291943,Stub,100.803
Safiya Zaghloul,egypt,AFRICA,800578412,Start,100.803
Mahmoud El Nokrashy Pasha,egypt,AFRICA,800640676,Start,100.803
Adly Mansour,egypt,AFRICA,800657898,C,100.803
Nawal El Saadawi,egypt,AFRICA,800663044,C,100.803
Mahmoud Fawzi,egypt,AFRICA,800754887,Start,100.803
Fouad Serageddin,egypt,AFRICA,800800878,Start,100.803
Muhammad Husayn Haykal,egypt,AFRICA,800959966,Start,100.803
Al-Fa'iz bi-Nasr Allah,egypt,AFRICA,800967250,Stub,100.803
Abdel Khalek Sarwat Pasha,egypt,AFRICA,801235112,Stub,100.803
Adly Yakan Pasha,egypt,AFRICA,801235162,Stub,100.803
Hussein Roshdy Pasha,egypt,AFRICA,801235222,Stub,100.803
Fakhri 'Abd al-Nur,egypt,AFRICA,801629851,Stub,100.803
Makram Ebeid,egypt,AFRICA,801631053,Start,100.803
Eva Habil,egypt,AFRICA,801632430,Stub,100.803
Georgette Kellini,egypt,AFRICA,801633022,Stub,100.803
Laila Takla,egypt,AFRICA,801634105,Start,100.803
Moheb Stino,egypt,AFRICA,801634338,Stub,100.803
Mounir Fakhry Abdel Nour,egypt,AFRICA,801635822,Start,100.803
Mohammad Farid,egypt,AFRICA,801724087,Start,100.803
Ahmad Mazlum,egypt,AFRICA,801731274,Stub,100.803
Jehan Sadat,egypt,AFRICA,801883534,C,100.803
Muhammad Hamid Abu al-Nasr,egypt,AFRICA,801983965,Stub,100.803
Moataz Abdel-Fattah,egypt,AFRICA,802090659,Start,100.803
Wahid Abdel Meguid,egypt,AFRICA,802090661,Start,100.803
Bahaa El-Din Abu Shoka,egypt,AFRICA,802090665,Start,100.803
Mohammad Salim Al-Awa,egypt,AFRICA,802090668,Stub,100.803
Khaled Azhari,egypt,AFRICA,802090671,Start,100.803
El-Sayyid el-Badawi,egypt,AFRICA,802090674,Stub,100.803
Mohamed Beltagy,egypt,AFRICA,802090676,Start,100.803
Mohammed Ali Beshr,egypt,AFRICA,802090680,Start,100.803
Essam el-Erian,egypt,AFRICA,802090683,Start,100.803
Farouk Gouida,egypt,AFRICA,802090686,Stub,100.803
Saad El-Katatni,egypt,AFRICA,802090692,C,100.803
Abou Elela Mady,egypt,AFRICA,802090695,Stub,100.803
Younes Makhioun,egypt,AFRICA,802090700,Start,100.803
Mohamed El-Sawy,egypt,AFRICA,802090709,Stub,100.803
Manar El-Shorbagy,egypt,AFRICA,802090711,Stub,100.803
Osama Yassin,egypt,AFRICA,802090719,Start,100.803
Mamdouh Shahin,egypt,AFRICA,802090766,Stub,100.803
Timeline of the Egyptian Crisis under Mohamed Morsi,egypt,AFRICA,802091005,GA,100.803
Mohamed Abou El-Ghar,egypt,AFRICA,802091021,Stub,100.803
Zakaria Azmi,egypt,AFRICA,802091037,Stub,100.803
Maher El-Beheiry,egypt,AFRICA,802091062,Stub,100.803
Mansour el-Essawy,egypt,AFRICA,802091102,Start,100.803
Rafik Habib,egypt,AFRICA,802091126,Start,100.803
Amr Hamzawy,egypt,AFRICA,802091130,C,100.803
Bothaina Kamel,egypt,AFRICA,802091158,Start,100.803
Haitham Mohamedain,egypt,AFRICA,802091196,Start,100.803
Sameh Naguib,egypt,AFRICA,802091230,Start,100.803
Ayman Nour,egypt,AFRICA,802091238,C,100.803
Samir Radwan,egypt,AFRICA,802091248,Start,100.803
Hala Shukrallah,egypt,AFRICA,802091322,Stub,100.803
Subhi Saleh,egypt,AFRICA,802091327,Stub,100.803
Omar Suleiman,egypt,AFRICA,802091334,B,100.803
Farouk Sultan,egypt,AFRICA,802091337,Stub,100.803
Mahmoud Wagdy,egypt,AFRICA,802091340,Stub,100.803
Mohammed Mahdi Akef,egypt,AFRICA,802205975,C,100.803
Mahmoud Samy El Baroudy,egypt,AFRICA,802441493,Stub,100.803
Yasser Shamsaldin Mohamad,egypt,AFRICA,802496070,C,100.803
Nur al-Din Kahala,egypt,AFRICA,802670925,Stub,100.803
Ahmed Shafik,egypt,AFRICA,802672219,C,100.803
Akhnoukh Fanous,egypt,AFRICA,802718005,Start,100.803
Yousef Wali,egypt,AFRICA,803119591,Start,100.803
Zakaria Mohieddin,egypt,AFRICA,803225667,C,100.803
Ahmad Mahir Pasha,egypt,AFRICA,803476894,Stub,100.803
Ahmed El-Zend,egypt,AFRICA,803517166,Stub,100.803
2013 Egyptian coup d'état,egypt,AFRICA,803566873,B,100.803
Ahmed Gamal El Segini,egypt,AFRICA,803826668,Start,100.803
Ester Fanous,egypt,AFRICA,803910324,Start,100.803
President of Egypt,egypt,AFRICA,804069247,C,100.803
Anwar Sadat,egypt,AFRICA,804113674,FA,100.803
Ali Sabri,egypt,AFRICA,804347277,Start,100.803
Hamdeen Sabahi,egypt,AFRICA,804394080,C,100.803
Abdel Hamid al-Sarraj,egypt,AFRICA,804431358,GA,100.803
Bahey El Din Barakat Pasha,egypt,AFRICA,804446108,Start,100.803
Abdel Moneim Aboul Fotouh,egypt,AFRICA,804452679,C,100.803
Khaled Ali,egypt,AFRICA,804452902,FA,100.803
Ashraf El-Shihy,egypt,AFRICA,804502345,C,100.803
Moushira Khattab,egypt,AFRICA,804677238,C,100.803
Gawdat al-Malt,egypt,AFRICA,804928298,Stub,100.803
Osama El-Baz,egypt,AFRICA,804930404,Start,100.803
Hosni Mubarak,egypt,AFRICA,805037992,FA,100.803
Doria Shafik,egypt,AFRICA,805186352,C,100.803
George Isaac (politician),egypt,AFRICA,805199785,Start,100.803
Muhammad Ibrahim Kamel,egypt,AFRICA,805359485,Stub,100.803
Mohammed Badie,egypt,AFRICA,805749818,C,100.803
Mohamed Tawfik Naseem Pasha,egypt,AFRICA,805782037,Stub,100.803
Hassan al-Banna,egypt,AFRICA,805797802,C,100.803
Gamal Abdel Nasser,egypt,AFRICA,805918753,FA,100.803
Amin Iskander,egypt,AFRICA,805930229,Start,100.803
Sayyid Qutb,egypt,AFRICA,805952910,B,100.803
Mohamed Morsi,egypt,AFRICA,806365281,B,100.803
List of Presidents of Egypt,egypt,AFRICA,806372528,Start,100.803
Vice-President of Egypt,egypt,AFRICA,806377438,Start,100.803
Mahmoud Abouelleil,egypt,AFRICA,806425332,C,100.803
Boutros Ghali,egypt,AFRICA,806544076,C,100.803
Abdel Fattah el-Sisi,egypt,AFRICA,806779104,FA,100.803
Naglaa Mahmoud,egypt,AFRICA,806807487,Stub,100.803
Abbud Pasha,egypt,AFRICA,807107456,Stub,100.803
Mohamed Hussein Tantawi,egypt,AFRICA,807163792,C,100.803
Amr Moussa,egypt,AFRICA,807186627,C,100.803
Anas el-Fiqqi,egypt,AFRICA,807229980,Stub,100.803
Hillel Schwartz,egypt,AFRICA,807322896,Stub,100.803
Amr Ali (youth leader),egypt,AFRICA,807407242,Stub,100.803
Mohammed Adel (youth leader),egypt,AFRICA,807407556,Start,100.803
Ahmed Maher (youth leader),egypt,AFRICA,807407729,C,100.803
Saba Habachy,egypt,AFRICA,807450050,Start,100.803
Bashir Saadawi,libya,AFRICA,691346630,Stub,6.891
Ragab Muftah Abudabus,libya,AFRICA,706348474,Stub,6.891
Muhammad Ahmad al-Mangoush,libya,AFRICA,709720053,Stub,6.891
Abdul Majid al-Qa′ud,libya,AFRICA,709720196,Stub,6.891
Abdul Qadir al-Badri,libya,AFRICA,709766577,Stub,6.891
Muhammad Sakizli,libya,AFRICA,709875829,Start,6.891
Salih Rajab al-Mismari,libya,AFRICA,712510932,Stub,6.891
Miftah Muhammed K'eba,libya,AFRICA,713800595,Stub,6.891
Mohamed Abulas’ad El-Alem,libya,AFRICA,719653188,Stub,6.891
Mohamed Al-Muntasir,libya,AFRICA,720477132,Stub,6.891
Omar Shegewi,libya,AFRICA,723570860,Stub,6.891
Ali Sahli,libya,AFRICA,726965047,Start,6.891
Abdulla Edriss Ebrahim,libya,AFRICA,735370690,Stub,6.891
Amal Nuri Safar,libya,AFRICA,738118171,Stub,6.891
Abdul Razzaq as-Sawsa,libya,AFRICA,738482818,Stub,6.891
Bashir al-Rabiti,libya,AFRICA,744272507,Start,6.891
Mifta al-Usta Umar,libya,AFRICA,747056652,Stub,6.891
Mohammed Ali Salim,libya,AFRICA,747192414,Stub,6.891
Abu Oweis,libya,AFRICA,749354367,Stub,6.891
Hisham Ben Ghalbon,libya,AFRICA,754815454,C,6.891
Huda Ben Amer,libya,AFRICA,755305575,Start,6.891
Khaled Kaim,libya,AFRICA,755320166,Stub,6.891
Salwa El-Deghali,libya,AFRICA,757616983,Start,6.891
Taha El Sherif Ben Amer,libya,AFRICA,761069990,Stub,6.891
Fawzi Abdel A'al,libya,AFRICA,761170393,Stub,6.891
Al-Aref al-Khoga,libya,AFRICA,761170861,Stub,6.891
Mansour Dhao,libya,AFRICA,767690287,Stub,6.891
Mahmud al-Muntasir,libya,AFRICA,768045201,Start,6.891
Hussein Maziq,libya,AFRICA,768045226,C,6.891
Ibrahim Jadhran,libya,AFRICA,770108339,Start,6.891
Hussein Sadiq al Musrati,libya,AFRICA,772424694,Stub,6.891
Mohammed Magariaf,libya,AFRICA,775296202,C,6.891
Isa Tuwaijir,libya,AFRICA,778066680,Stub,6.891
Nagia Essayed,libya,AFRICA,779744403,Stub,6.891
Imbarek Shamekh,libya,AFRICA,781303411,Start,6.891
Ashour Suleiman Shuwail,libya,AFRICA,781776934,Start,6.891
Sadiq Abdulkarim Abdulrahman,libya,AFRICA,781898903,Start,6.891
Abdul Salam al-Buseiri,libya,AFRICA,781990525,Stub,6.891
Umar Mustafa al-Muntasir,libya,AFRICA,784805072,Stub,6.891
Yousef Mangoush,libya,AFRICA,784971583,Stub,6.891
Hamdi Faraj Fanoush,libya,AFRICA,785352141,Stub,6.891
Ahmad Bishti,libya,AFRICA,785582155,Stub,6.891
Abu Bakr Baira,libya,AFRICA,785889190,Start,6.891
Abdel Wahab Qaid,libya,AFRICA,787386598,Start,6.891
Abdul Rahman Habil,libya,AFRICA,787400698,Stub,6.891
Abdul Rahman Kamudi,libya,AFRICA,787400763,Stub,6.891
El Waer Hakim,libya,AFRICA,787658532,Start,6.891
Abdussalam Sergiwa,libya,AFRICA,787914218,Stub,6.891
Abdulbari Al Arusi,libya,AFRICA,788267111,Start,6.891
Ali Ashour,libya,AFRICA,788275167,Stub,6.891
Hamza Abu Faris,libya,AFRICA,788399266,Start,6.891
Abdullah Naker,libya,AFRICA,788419128,Stub,6.891
Ali Abd-al-Aziz al-Isawi,libya,AFRICA,788467016,Start,6.891
Mohamed Abu al-Qasim al-Zwai,libya,AFRICA,788474662,Stub,6.891
Mustafa Rugibani,libya,AFRICA,788478147,Stub,6.891
Omar al-Hassi,libya,AFRICA,788491832,Start,6.891
Fariha al-Berkawi,libya,AFRICA,788591692,Stub,6.891
Usama Siala,libya,AFRICA,788701001,Start,6.891
Ahmed Rafiq Almhadoui,libya,AFRICA,789271261,Stub,6.891
Anwar Fituri,libya,AFRICA,789508170,Start,6.891
Mohamed Ben Ghalbon,libya,AFRICA,794211790,C,6.891
Abdullah Senussi,libya,AFRICA,794233552,C,6.891
Mustafa Abdul Jalil,libya,AFRICA,794505172,C,6.891
Yousaf Borahil Al-Msmare,libya,AFRICA,795842463,Stub,6.891
Ehtuish Ehtuish,libya,AFRICA,795937810,Start,6.891
Ahmed Al-Abbar,libya,AFRICA,796185715,Stub,6.891
Ashour Bourashed,libya,AFRICA,796614256,Stub,6.891
Mohammed el-Hadhiri,libya,AFRICA,796696444,Stub,6.891
Mustafa Tajouri,libya,AFRICA,796703955,Stub,6.891
Abdurrahim El-Keib,libya,AFRICA,796886195,C,6.891
Muhammad az-Zanati,libya,AFRICA,796890077,Stub,6.891
Awad al-Baraasi,libya,AFRICA,797020109,Stub,6.891
